trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1937,False,"{'a': 0.7, 'e': 0.1439960880418334}",25,0,21.51456619568564,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1938,False,"{'a': 0.7, 'e': 0.14385209195379156}",20,11,18.94057655556832,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1939,False,"{'a': 0.7, 'e': 0.14370823986183776}",35,8,4.843838268481537,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
1940,False,"{'a': 0.7, 'e': 0.14356453162197594}",20,14,9.9724234552266,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1941,False,"{'a': 0.7, 'e': 0.14342096709035396}",20,0,16.945936810016303,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1942,False,"{'a': 0.7, 'e': 0.1432775461232636}",25,3,27.016356877571795,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1943,False,"{'a': 0.7, 'e': 0.14313426857714034}",20,8,10.314133386220638,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1944,False,"{'a': 0.7, 'e': 0.1429911343085632}",20,6,12.637815108123085,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1945,False,"{'a': 0.7, 'e': 0.14284814317425462}",25,10,25.826147092984915,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1946,False,"{'a': 0.7, 'e': 0.14270529503108037}",20,0,17.81745684678964,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1947,False,"{'a': 0.7, 'e': 0.1425625897360493}",30,11,7.30064769727291,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
1948,False,"{'a': 0.7, 'e': 0.14242002714631324}",30,4,32.58690618190504,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
1949,False,"{'a': 0.7, 'e': 0.14227760711916693}",25,7,22.164039656168384,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1950,False,"{'a': 0.7, 'e': 0.14213532951204777}",30,13,-25.80183688463522,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1951,False,"{'a': 0.7, 'e': 0.14199319418253573}",25,14,-2.402312236015052,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1952,False,"{'a': 0.7, 'e': 0.1418512009883532}",25,0,32.51757769539295,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1953,False,"{'a': 0.7, 'e': 0.14170934978736482}",30,17,-1.4533893503597946,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
1954,False,"{'a': 0.7, 'e': 0.14156764043757747}",20,13,-0.9107260581146963,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1955,False,"{'a': 0.7, 'e': 0.1414260727971399}",20,10,-35.699032128999505,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
1956,False,"{'a': 0.7, 'e': 0.14128464672434274}",30,11,20.848982204614195,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1957,False,"{'a': 0.7, 'e': 0.1411433620776184}",20,0,9.952835825958108,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1958,False,"{'a': 0.7, 'e': 0.14100221871554078}",20,0,20.66056936606782,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1959,False,"{'a': 0.7, 'e': 0.14086121649682526}",25,12,25.339363495721443,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
